"Time,""ID"",""AssetType"",""ProductionVolumeMWh"",""ProductionVolumeNoDerateMWh"""
"2022-05,""15ca5966-3c0f-47bb-b887-c5315048a07a"",""WindFarm"",899.79,899.79"
"2022-03,""16fc42c1-ce89-45ae-80be-872ea761c567"",""WindFarm"",5803.2,5803.2"
"2022-04,""16fc42c1-ce89-45ae-80be-872ea761c567"",""WindFarm"",7416.91,7974.71"
"2022-05,""16fc42c1-ce89-45ae-80be-872ea761c567"",""WindFarm"",5452.24,5484.28"
"2022-03,""225e1de6-f426-4656-bbfc-c905e3f99f7a"",""WindFarm"",1388.72,1506.64"
"2022-04,""225e1de6-f426-4656-bbfc-c905e3f99f7a"",""WindFarm"",1972.72,2452.8"
"2022-05,""225e1de6-f426-4656-bbfc-c905e3f99f7a"",""WindFarm"",1085.14,1515.04"
"2022-03,""241a29b8-851a-4c20-af10-c1c8d863364e"",""WindFarm"",1970.02,1970.02"
"2022-04,""241a29b8-851a-4c20-af10-c1c8d863364e"",""WindFarm"",2788.81,2788.81"
"2022-05,""241a29b8-851a-4c20-af10-c1c8d863364e"",""WindFarm"",2041.58,2050.91"
"2022-03,""26f68585-6449-4c8b-9148-0c4d680c8598"",""WindFarm"",243.88,250.26"
"2022-04,""26f68585-6449-4c8b-9148-0c4d680c8598"",""WindFarm"",329.66,365.59"
"2022-05,""26f68585-6449-4c8b-9148-0c4d680c8598"",""WindFarm"",250.85,254.07"
"2022-03,""2933906b-4778-42d8-ac15-8d986d94509a"",""WindFarm"",1350.64,1350.64"
"2022-04,""2933906b-4778-42d8-ac15-8d986d94509a"",""WindFarm"",1511.19,1618.14"
"2022-05,""2933906b-4778-42d8-ac15-8d986d94509a"",""WindFarm"",1210.74,1217.4"
"2022-03,""2a7de792-850f-42a0-82fc-03f7293b4457"",""WindFarm"",431.19,436.11"
"2022-04,""2a7de792-850f-42a0-82fc-03f7293b4457"",""WindFarm"",718.68,718.68"
"2022-05,""2a7de792-850f-42a0-82fc-03f7293b4457"",""WindFarm"",451.11,451.2"
"2022-03,""2c8ed195-e632-4fbd-8b1a-a8a68ae2b0f1"",""WindFarm"",1099.2,1111.44"
"2022-04,""2c8ed195-e632-4fbd-8b1a-a8a68ae2b0f1"",""WindFarm"",1910.73,1973.13"
"2022-05,""2c8ed195-e632-4fbd-8b1a-a8a68ae2b0f1"",""WindFarm"",1259.77,1272.08"
"2022-03,""2ed92cb2-7ad5-4240-adc9-3887d164c112"",""WindFarm"",2398.73,2470.74"
"2022-04,""2ed92cb2-7ad5-4240-adc9-3887d164c112"",""WindFarm"",3376.12,3376.12"
"2022-05,""2ed92cb2-7ad5-4240-adc9-3887d164c112"",""WindFarm"",2798.3,2798.62"
"2022-03,""2f9fa16b-491b-4f9d-8cf5-21bc8224d790"",""WindFarm"",2239.39,2484.82"
"2022-04,""2f9fa16b-491b-4f9d-8cf5-21bc8224d790"",""WindFarm"",3268.82,3356.93"
"2022-05,""2f9fa16b-491b-4f9d-8cf5-21bc8224d790"",""WindFarm"",2676.34,2676.34"
"2022-03,""3175bb1b-c6aa-41a4-82e6-de5d3b5b4f1a"",""WindFarm"",139.87,151.08"
"2022-04,""3175bb1b-c6aa-41a4-82e6-de5d3b5b4f1a"",""WindFarm"",230.71,230.71"
"2022-05,""3175bb1b-c6aa-41a4-82e6-de5d3b5b4f1a"",""WindFarm"",136.2,136.2"
"2022-03,""357ec859-4033-4b7f-bd4f-885d8326aa68"",""WindFarm"",390.8,392.47"
"2022-04,""357ec859-4033-4b7f-bd4f-885d8326aa68"",""WindFarm"",685.41,706.68"
"2022-05,""357ec859-4033-4b7f-bd4f-885d8326aa68"",""WindFarm"",518.31,518.8"
"2022-03,""35842cdd-fdc6-4a1b-acb3-262ff2b1333a"",""WindFarm"",3097.25,3097.25"
"2022-04,""35842cdd-fdc6-4a1b-acb3-262ff2b1333a"",""WindFarm"",4322.79,4337.9"
"2022-05,""35842cdd-fdc6-4a1b-acb3-262ff2b1333a"",""WindFarm"",3106.13,3106.85"
"2022-03,""35d0499e-0560-4d5e-aae7-21e15e473f55"",""WindFarm"",7900.49,7900.56"
"2022-04,""35d0499e-0560-4d5e-aae7-21e15e473f55"",""WindFarm"",11322.67,11324.78"
"2022-05,""35d0499e-0560-4d5e-aae7-21e15e473f55"",""WindFarm"",8898.79,8898.79"
"2022-03,""3f5d0a28-fd03-4cf8-8722-fe6d0d052327"",""WindFarm"",3371.6,3638.48"
"2022-04,""3f5d0a28-fd03-4cf8-8722-fe6d0d052327"",""WindFarm"",4565.9,4565.9"
"2022-05,""3f5d0a28-fd03-4cf8-8722-fe6d0d052327"",""WindFarm"",3594.69,3594.69"
"2022-03,""492b8a14-420f-4511-8a8b-fd648417a2b6"",""WindFarm"",3972.62,4327.81"
"2022-04,""492b8a14-420f-4511-8a8b-fd648417a2b6"",""WindFarm"",5483.14,5483.14"
"2022-05,""492b8a14-420f-4511-8a8b-fd648417a2b6"",""WindFarm"",4299.86,4299.86"
"2022-03,""49cacf76-29dc-41c5-a781-c7ce965d2bc2"",""WindFarm"",2994.69,3418.28"
"2022-04,""49cacf76-29dc-41c5-a781-c7ce965d2bc2"",""WindFarm"",4608.54,4762.71"
"2022-05,""49cacf76-29dc-41c5-a781-c7ce965d2bc2"",""WindFarm"",3704.8,3704.8"
"2022-03,""4b7271c1-0fec-4a91-b4d7-2be7b362d02c"",""WindFarm"",566.18,566.18"
"2022-04,""4b7271c1-0fec-4a91-b4d7-2be7b362d02c"",""WindFarm"",816.99,845.14"
"2022-05,""4b7271c1-0fec-4a91-b4d7-2be7b362d02c"",""WindFarm"",502.96,518.22"
"2022-03,""4bae462c-e9b4-4af2-9e95-063923967259"",""WindFarm"",890.65,890.65"
"2022-04,""4bae462c-e9b4-4af2-9e95-063923967259"",""WindFarm"",1063.88,1073.82"
"2022-05,""4bae462c-e9b4-4af2-9e95-063923967259"",""WindFarm"",606.75,606.75"
"2022-03,""50faf6de-8c08-4742-866b-640ab7ed0160"",""WindFarm"",1140.83,1149.72"
"2022-04,""50faf6de-8c08-4742-866b-640ab7ed0160"",""WindFarm"",1542.04,1581.89"
"2022-05,""50faf6de-8c08-4742-866b-640ab7ed0160"",""WindFarm"",1084.02,1084.02"
"2022-03,""5450089c-447c-49b9-bcdc-51d7478292ed"",""WindFarm"",2173.94,2173.94"
"2022-04,""5450089c-447c-49b9-bcdc-51d7478292ed"",""WindFarm"",2698.68,2700.72"
"2022-05,""5450089c-447c-49b9-bcdc-51d7478292ed"",""WindFarm"",2473.93,2473.93"
"2022-03,""5549ab48-09c0-49fa-958d-92b030a5f5d6"",""WindFarm"",1317.76,1317.76"
